,,,
,,,
,,,
As of:,"Oct 21, 2016",,
,,,
,,,
Effective date ,Dow Jones Industrial Average Total Return,Dow Jones Industrial Average Net Total Return,Dow Jones Industrial Average
9/29/2006,18776.95,17935.93,11679.07
10/2/2006,18762.92,17922.53,11670.35
10/3/2006,18854.55,18010.05,11727.34
10/4/2006,19059.11,18203.62,11850.61
10/5/2006,19094.49,18234.69,11866.69
10/6/2006,19067.96,18209.35,11850.21
10/9/2006,19080.2,18221.04,11857.81
10/10/2006,19095.27,18235.43,11867.17
10/11/2006,19071.05,18212.31,11852.13
10/12/2006,19224.84,18359.17,11947.7
10/13/2006,19245.45,18378.84,11960.51
10/16/2006,19277.77,18409.72,11980.6
10/17/2006,19228.57,18362.73,11950.02
10/18/2006,19301.23,18430.97,11992.68
10/19/2006,19335.76,18462.83,12011.73
10/20/2006,19320.69,18448.44,12002.37
10/23/2006,19505.07,18624.5,12116.91
10/24/2006,19522.72,18641.36,12127.88
10/25/2006,19533.68,18651.81,12134.68
10/26/2006,19580.32,18696.35,12163.66
10/27/2006,19462.16,18583.53,12090.26
10/30/2006,19456.11,18577.75,12086.5
10/31/2006,19446.83,18568.89,12080.73
11/1/2006,19368.74,18493.77,12031.02
11/2/2006,19354.95,18478.79,12018.54
11/3/2006,19303.9,18429.69,11986.04
11/6/2006,19496.36,18613.44,12105.55
11/7/2006,19578.87,18692.21,12156.77
11/8/2006,19621.56,18729.86,12176.54
11/9/2006,19507.65,18619.94,12103.3
11/10/2006,19515.9,18627.82,12108.43
11/13/2006,19571.43,18675.74,12131.88
11/14/2006,19711.67,18809.2,12218.01
11/15/2006,19772.71,18865.53,12251.71
11/16/2006,19862.98,18950.82,12305.82
11/17/2006,19922.28,19007.4,12342.56
11/20/2006,19880.29,18967.33,12316.54
11/21/2006,19894.39,18979.08,12321.59
11/22/2006,19903.05,18987.35,12326.95
11/23/2006,19903.05,18987.35,12326.95
11/24/2006,19832.35,18918.51,12280.17
11/27/2006,19576.43,18674.39,12121.71
11/28/2006,19603.15,18699.04,12136.45
11/29/2006,19755.18,18842.28,12226.73
11/30/2006,19747.42,18834.88,12221.93
12/1/2006,19702.5,18792.04,12194.13
12/4/2006,19847.47,18930.31,12283.85
12/5/2006,19924.62,19003.89,12331.6
12/6/2006,19893.42,18972.73,12309.25
12/7/2006,19843.57,18925.19,12278.41
12/8/2006,19890.57,18970.01,12307.49
12/11/2006,19925.53,19003.05,12328.48
12/12/2006,19904.68,18983.17,12315.58
12/13/2006,19913.97,18990.27,12317.5
12/14/2006,20074.45,19143.3,12416.76
12/15/2006,20120.95,19187.64,12445.52
12/18/2006,20114.08,19181.09,12441.27
12/19/2006,20162.65,19227.41,12471.32
12/20/2006,20150.61,19215.92,12463.87
12/21/2006,20085.32,19152.63,12421.25
12/22/2006,19970.22,19039.7,12343.22
12/25/2006,19970.22,19039.7,12343.22
12/26/2006,20074.43,19139.06,12407.63
12/27/2006,20240.98,19297.85,12510.57
12/28/2006,20226.34,19283.89,12501.52
12/29/2006,20164.25,19224.69,12463.15
1/1/2007,20164.25,19224.69,12463.15
1/2/2007,20164.25,19224.69,12463.15
1/3/2007,20189.02,19246.49,12474.52
